,BOX_OFFICE,BOX_OFFICE(prob),DATE,HOST_LAMIGO桃猿,HOST_中信兄弟,HOST_富邦悍將,HOST_統一7-ELEVEn獅,CLIENT_LAMIGO桃猿,CLIENT_中信兄弟,CLIENT_富邦悍將,CLIENT_統一7-ELEVEn獅,Fri,Sat,Sun,Thu,Tue,Wed,Previous_CLIENT_HR,Previous_CLIENT_ERR,Previous_HOST_HR,Previous_HOST_ERR,Previous_CLIENT_SCORE,Previous_HOST_SCORE,Previous_TIME,Previous_HOST_H,Previous_HOST_SO,Previous_HOST_SB,Previous_HOST_BB,Previous_CLIENT_H,Previous_CLIENT_SO,Previous_CLIENT_SB,Previous_CLIENT_BB,Stadium
137,6905,0.34525,2017-07-23,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,2,1,14,7,238,11,10,2,6,12,10,0,4,桃園
138,6467,0.32335,2017-07-23,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,0,2,3,207,4,2,0,4,4,9,0,4,洲際
139,3573,0.17865,2017-07-25,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,1,3,11,8,240,8,6,2,4,14,3,0,4,桃園
140,4067,0.7394545454545455,2017-07-26,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,11,6,211,9,6,0,1,12,2,0,3,花蓮
141,4126,0.2063,2017-07-27,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,3,10,216,10,5,0,5,7,8,1,3,桃園
142,3939,0.7161818181818181,2017-07-27,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,8,3,205,9,6,1,3,11,1,0,3,花蓮
143,2505,0.12525,2017-07-28,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,2,4,14,240,18,4,0,3,11,10,0,2,澄清湖
144,8112,0.4056,2017-07-28,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,9,3,230,8,11,0,3,15,4,0,6,桃園
145,4563,0.3042,2017-08-01,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,2,4,0,3,18,216,15,4,0,2,4,4,0,1,斗六
146,2302,0.1151,2017-08-02,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,3,7,235,7,8,1,6,8,9,0,3,澄清湖
